Continent;Year;Age;Value
Africa;1986;50-59;85.08797764462305
Africa;1986;60-69;114.01812600576562
Africa;1986;70-79;124.03250434417569
Africa;1986;80-89;68.60423884489603
Africa;1986;90+;10.10659137848337
Africa;1987;0-9;745.1424342091415
Africa;1987;10-19;78.84273668497954
Africa;1987;20-29;92.98400276289482
Africa;1987;30-39;79.78413417842104
Africa;1987;40-49;74.50442342171031
Africa;1987;50-59;86.31529620594064
Africa;1987;60-69;114.44351867720087
Africa;1987;70-79;123.55671505657678
Africa;1987;80-89;68.94299564338267
Africa;1987;90+;11.020947087367329
Africa;1988;0-9;785.9270865312493
Africa;1988;10-19;77.42203433115664
Africa;1988;20-29;89.72083254731048
Africa;1988;30-39;78.18344344175814
Africa;1988;40-49;74.37889036514824
Africa;1988;50-59;87.42789205312648
Africa;1988;60-69;117.141497026897
Africa;1988;70-79;125.40055261243025
Africa;1988;80-89;70.16561923414913
Africa;1988;90+;11.234211546889789
Africa;1989;0-9;705.317271255142
Africa;1989;10-19;73.1743998449556
Africa;1989;20-29;86.61020772743422
Africa;1989;30-39;76.38893883744619
Africa;1989;40-49;71.52241846676297
Africa;1989;50-59;83.62976379430737
Africa;1989;60-69;112.56858842586398
Africa;1989;70-79;121.73642861974092
Africa;1989;80-89;68.82000051014077
Africa;1989;90+;11.225879582287703
Africa;1990;0-9;691.4418901885405
Africa;1990;10-19;73.49806009284895
Africa;1990;20-29;89.22582018422082
Africa;1990;30-39;78.28747446606991
Africa;1990;40-49;72.60444580498876
Africa;1990;50-59;83.85530741683985
Africa;1990;60-69;112.49842381602743
Africa;1990;70-79;121.51561597103395
Africa;1990;80-89;68.29334701289632
Africa;1990;90+;11.415968764463218
Africa;1991;0-9;706.1055080112504
Africa;1991;10-19;75.12233768333425
Africa;1991;20-29;87.19581129746201
Africa;1991;30-39;78.79180769206677
Africa;1991;40-49;73.46093339029497
Africa;1991;50-59;84.42895772482083
Africa;1991;60-69;113.69219424884014
Africa;1991;70-79;122.2656440756332
Africa;1991;80-89;68.70307927758269
Africa;1991;90+;11.393513646551225
Africa;1992;0-9;700.3615321965096
Africa;1992;10-19;80.03024092266715
Africa;1992;20-29;92.55822016448948
Africa;1992;30-39;83.86633816238378
Africa;1992;40-49;77.10811082151415
Africa;1992;50-59;86.26385190048042
Africa;1992;60-69;114.59943745646731
Africa;1992;70-79;122.25155221812591
Africa;1992;80-89;68.57777300691731
Africa;1992;90+;10.858205520395583
Africa;1993;0-9;663.9269755733461
Africa;1993;10-19;79.74836168540152
Africa;1993;20-29;93.64708549324305
Africa;1993;30-39;85.31365710494401
Africa;1993;40-49;78.03677505559935
Africa;1993;50-59;85.55671990152949
Africa;1993;60-69;113.45744403378106
Africa;1993;70-79;120.53789507963698
Africa;1993;80-89;68.36469623841396
Africa;1993;90+;11.139068328744987
Africa;1994;0-9;650.7440793325305
Africa;1994;10-19;89.56054169571946
Africa;1994;20-29;115.81352222412349
Africa;1994;30-39;107.96128459242128
Africa;1994;40-49;93.1093331698414
Africa;1994;50-59;93.52335864769759
Africa;1994;60-69;119.22387609209042
Africa;1994;70-79;122.31956788982639
Africa;1994;80-89;68.64532415703728
Africa;1994;90+;11.152958585600441
Africa;1995;0-9;629.0662205323505
Africa;1995;10-19;73.65416327544932
