Continent,Year,Disease,Value
Asia,2013,Malaria,0.8402040816326531
Asia,2013,Malnutrition,1.9518367346938776
Asia,2013,Smoking,111.07857142857144
Asia,2013,Tuberculosis,15.57265306122449
Asia,2014,Cancers,119.0108163265306
Asia,2014,Cardiovascular,358.9616326530612
Asia,2014,Dementia,24.006122448979593
Asia,2014,Diharreal,11.594489795918367
Asia,2014,HIV/AIDS,3.5406122448979596
Asia,2014,Malaria,0.8230612244897959
Asia,2014,Malnutrition,1.8834693877551019
Asia,2014,Smoking,109.33918367346939
Asia,2014,Tuberculosis,14.93265306122449
Asia,2015,Cancers,118.83795918367348
Asia,2015,Cardiovascular,357.2816326530612
Asia,2015,Dementia,23.989183673469388
Asia,2015,Diharreal,11.07816326530612
Asia,2015,HIV/AIDS,3.383265306122449
Asia,2015,Malaria,0.6861224489795917
Asia,2015,Malnutrition,1.8183673469387753
Asia,2015,Smoking,107.94265306122448
Asia,2015,Tuberculosis,14.259387755102042
Asia,2016,Cancers,118.6008163265306
Asia,2016,Cardiovascular,354.41734693877555
Asia,2016,Dementia,24.028775510204085
Asia,2016,Diharreal,10.64795918367347
Asia,2016,HIV/AIDS,3.183673469387755
Asia,2016,Malaria,0.6344897959183674
Asia,2016,Malnutrition,1.7451020408163267
Asia,2016,Smoking,106.56795918367347
Asia,2016,Tuberculosis,13.684081632653061
Asia,2017,Cancers,118.12551020408162
Asia,2017,Cardiovascular,351.10632653061225
Asia,2017,Dementia,24.036938775510205
Asia,2017,Diharreal,10.433673469387756
Asia,2017,HIV/AIDS,2.9712244897959184
Asia,2017,Malaria,0.6275510204081632
Asia,2017,Malnutrition,1.6818367346938774
Asia,2017,Smoking,105.29122448979591
Asia,2017,Tuberculosis,13.116122448979594
Asia,2018,Cancers,117.61979591836734
Asia,2018,Cardiovascular,345.2181632653061
Asia,2018,Dementia,23.998775510204084
Asia,2018,Diharreal,9.977755102040817
Asia,2018,HIV/AIDS,2.7738775510204086
Asia,2018,Malaria,0.5681632653061224
Asia,2018,Malnutrition,1.613469387755102
Asia,2018,Smoking,103.66408163265307
